player_id,GAMES,record,MIN,POSS,MINxGP,PM,ORAPM,DRAPM,RAPM
Eddy Edigin,1,0,1.1333333333333333,2,1.1333333333333333,4,37.397978430249474,18.256230519335094,55.65420894958457
Marc Garcia,1,1,1.2333333333333334,5,1.2333333333333334,6,19.646909736345282,8.265978257605228,27.912887993950513
Atoumane Diagne,1,0,7.933333333333334,15,7.933333333333334,13,8.253218192325015,13.779425730766901,22.032643923091918
Lautaro Lopez,1,0,3.1166666666666667,6,3.1166666666666667,4,16.57760568056103,-1.2353725840722622,15.34223309648877
Erikas Venskus,4,0.75,16.183333333333334,31,4.045833333333333,13,2.5777186978476325,9.286504793703068,11.864223491550701
Tyler Ennis,3,1,30.55,52,10.183333333333334,19,12.974502362634158,-1.6990716096077252,11.275430753026434
Martynas Arlauskas,4,0.5,13.383333333333333,26,3.345833333333333,10,11.191919602970165,-1.0202995746202985,10.171620028349867
David Kraemer,6,0.6666666666666666,18.516666666666666,30,3.086111111111111,8,10.456741736260854,-1.38011314507636,9.076628591184495
Dori Sahar,4,0.5,19.15,35,4.7875,4,1.4968065864799505,6.468313841516371,7.965120427996321
Amar'E Stoudemire,6,0.6666666666666666,32.21666666666667,61,5.3694444444444445,9,2.0449449653556235,4.945439557724827,6.990384523080451
Andrei Desiatnikov,2,0.5,7.766666666666667,17,3.8833333333333333,5,-2.633973012713755,9.157089549061228,6.523116536347473
Erten Gazi,23,0.43478260869565216,117.91666666666667,189,5.1268115942028984,24,0.39863624955093757,5.52431778031183,5.922954029862768
Nikos Chougkaz,4,0.75,25.116666666666667,45,6.279166666666667,5,-0.7569649958528255,5.999439069383997,5.242474073531172
Johnathan Hamilton,4,0.5,33.55,62,8.3875,9,-4.009490743111182,9.215919863469923,5.206429120358741
Guillem Ferrando,2,0.5,6.216666666666667,11,3.1083333333333334,3,-3.062694468873553,8.208745460027416,5.146050991153863
Nimrod Levi,5,0.4,11.283333333333333,20,2.256666666666667,4,3.151852693153831,1.810807386970741,4.962660080124572
Rinalds Malmanis,11,0.7272727272727273,131.08333333333334,233,11.916666666666668,34,2.557274127671042,2.202478828356161,4.759752956027203
Marko Todorovic,27,0.5185185185185185,282.05,477,10.446296296296296,71,3.125000084496678,1.6163733745851534,4.7413734590818315
Muhaymin Mustafa,8,0.25,49.46666666666667,80,6.183333333333334,0,3.0066441934695387,0.8966936765605097,3.9033378700300485
Dogus Balbay,112,0.5803571428571429,1044.75,1776,9.328125,144,1.5456829706418245,2.3300350563482204,3.875718026990045
Mikhail Kulagin,16,0.8125,98.06666666666666,180,6.129166666666666,32,-0.900991549333976,4.70566308175361,3.8046715324196336
Salah Mejri,6,0.8333333333333334,28.583333333333332,56,4.763888888888888,15,0.8379613533728022,2.9074252284107223,3.7453865817835243
James Augustine,29,0.4482758620689655,672.0333333333333,1175,23.173563218390804,139,3.050851345335202,0.5917957310088992,3.642647076344101
Dino Radoncic,7,0.5714285714285714,45.416666666666664,78,6.488095238095238,8,5.540627500349216,-2.014764028056739,3.525863472292477
Dragan Apic,3,0,16.716666666666665,30,5.572222222222222,-2,-2.5035426255830737,5.933687606694035,3.4301449811109617
Ismet Akpinar,14,0.42857142857142855,163.35,282,11.667857142857143,25,2.6224546801119324,0.7218175574415966,3.344272237553529
Austin James Hollins,5,0.4,100.06666666666666,172,20.013333333333332,-13,2.043967596917555,1.2964395687751689,3.3404071656927234
Alejandro Barrera,6,0.3333333333333333,26,46,4.333333333333333,2,-1.8997244130610553,5.165487431290622,3.265763018229566
Rudy Demahis,5,0.2,13.55,24,2.71,2,2.8803085650972013,0.32772831279969844,3.2080368778969
Jalen Jones,13,0.5384615384615384,129.7,249,9.976923076923075,42,1.8358181149763175,1.3566693823947586,3.192487497371076
Makai Mason,20,0.2,215.8,432,10.790000000000001,59,3.273080555293599,-0.18945258197284096,3.083627973320758
Antonios Koniaris,25,0.48,322.21666666666664,575,12.888666666666666,69,-0.7084507530576437,3.758882148025761,3.050431394968117
Sertac Sanli,96,0.7291666666666666,1243.65,2380,12.9546875,364,1.963617952885405,1.0165895601623107,2.9802075130477155
Phil Pressey,18,0.3888888888888889,224.1,417,12.45,57,-1.8743612160504093,4.760919500026811,2.8865582839764024
Sergi Martinez,59,0.711864406779661,628.5666666666667,1075,10.653672316384181,72,1.7127176733044522,1.164920453512651,2.877638126817103
Amedeo Della Valle,33,0.42424242424242425,322.1,575,9.760606060606062,53,1.8158195271982227,0.9904753220675345,2.806294849265757
Emanuel Terry,9,0.3333333333333333,169.78333333333333,283,18.864814814814814,-4,1.8305083098843422,0.9097666574121358,2.740274967296478
Walter Tavares,162,0.6728395061728395,3550.6,6308,21.917283950617282,799,0.3715222757741706,2.2292326660257147,2.6007549417998854
Kenneth Ogbe,18,0.16666666666666666,152.81666666666666,280,8.489814814814814,5,1.5710355783951087,1.024346665853059,2.5953822442481673
Aleksa Ilic,3,0,45.13333333333333,79,15.044444444444444,-3,-1.980196693940317,4.55578821977917,2.5755915258388526
Thanasis Antetokounmpo,57,0.5614035087719298,699.5166666666667,1214,12.272222222222222,83,-0.11078328863930084,2.657196829601153,2.546413540961852
Christopher Evans,12,0.4166666666666667,228.53333333333333,438,19.044444444444444,-4,2.6083244092573756,-0.10848436505358076,2.4998400442037947
Ivan Ukhov,65,0.6461538461538462,556.5833333333334,971,8.562820512820513,78,0.9699115362644355,1.497100066678805,2.4670116029432405
Facundo Campazzo,102,0.7058823529411765,2405.5333333333333,4386,23.583660130718954,589,0.8887853412110853,1.57546560971114,2.4642509509222252
Donta Hall,35,0.5428571428571428,647.6333333333333,1160,18.503809523809522,87,1.474367141614085,0.9275339364134078,2.401901078027493
Vitaly Fridzon,60,0.7166666666666667,390.3,726,6.505,74,0.6066827038001353,1.748335966696259,2.3550186704963942
Awudu Abass,10,0.4,47.583333333333336,88,4.758333333333334,1,0.17139203125388752,2.02417546144696,2.1955674927008473
Alex Abrines,77,0.7012987012987013,1281.5666666666666,2262,16.643722943722942,248,0.5275994845673891,1.6647112647044904,2.1923107492718796
Benjamin Bentil,23,0.5652173913043478,204.6,399,8.895652173913044,39,-0.02605256382044246,2.181385684486151,2.1553331206657087
Vassilis Toliopoulos,10,0.7,52.93333333333333,88,5.293333333333333,8,-2.382376893237902,4.525931181392247,2.143554288154345
Edo Muric,8,0.25,113.75,211,14.21875,29,-0.2787374429398961,2.4128539808063043,2.134116537866408
Moustapha Fall,68,0.5147058823529411,1531.95,2728,22.528676470588238,185,0.862726604637726,1.1970834171335045,2.0598100217712307
Chris Singleton,174,0.6436781609195402,4115.066666666667,7729,23.649808429118774,671,0.8704831901709633,1.1738268479630425,2.0443100381340056
Rolands Smits,107,0.6728971962616822,1499.25,2611,14.011682242990654,272,0.1364018534931446,1.8959220854253507,2.0323239389184953
Jonas Maciulis,22,0.6363636363636364,282.93333333333334,504,12.860606060606061,32,0.8136422506971891,1.2104767130494536,2.0241189637466426
Sasha Grant,16,0.5,64.41666666666667,113,4.026041666666667,4,-1.021116513870433,3.031544333916371,2.010427820045938
Tarik Black,50,0.52,966.5166666666667,1717,19.330333333333332,146,-0.4003071796495177,2.372600703404077,1.9722935237545594
Marko Guduric,121,0.6528925619834711,2518.0666666666666,4305,20.810468319559227,414,1.4119842595858778,0.5570712174463085,1.9690554770321862
Onuralp Bitim,4,0.25,35.28333333333333,63,8.820833333333333,-4,2.7174755790004124,-0.7834623101085046,1.9340132688919076
Rudy Fernandez,149,0.7046979865771812,2785.766666666667,5040,18.69642058165548,518,0.7486841237334856,1.1666884938726538,1.9153726176061394
Daniel Hackett,135,0.6296296296296297,2857.983333333333,5065,21.170246913580247,447,1.0431742754580855,0.8576521787753206,1.9008264542334061
Jan Vesely,136,0.6102941176470589,3632.983333333333,6252,26.713112745098037,492,1.0583622357206433,0.7819410508027357,1.8403032865233788
Nicolo Melli,104,0.7115384615384616,2678.4333333333334,4508,25.754166666666666,349,0.718222550812917,1.1012116689850757,1.8194342197979927
Dante Liman Exum,25,0.68,424.43333333333334,747,16.977333333333334,75,1.4672805568524476,0.3292448021161101,1.7965253589685577
Danilo Nikolic,26,0.23076923076923078,370.51666666666665,649,14.250641025641025,-5,2.0021481365097022,-0.21879710299566468,1.7833510335140375
Paris Lee,36,0.5555555555555556,700.7833333333333,1225,19.4662037037037,84,0.6942759669686633,1.0604415048487006,1.754717471817364
Semen Antonov,125,0.72,1203.6,2128,9.6288,160,1.1445840599127206,0.6089273428792648,1.7535114027919854
Pau Gasol,7,0.42857142857142855,68.4,120,9.771428571428572,1,2.0243745576476657,-0.2790057881971719,1.7453687694504938
Regimantas Miniotas,10,0.2,85.13333333333334,143,8.513333333333334,5,-0.8727185137493606,2.5913491941889157,1.718630680439555
Drew Crawford,7,0.14285714285714285,119.73333333333333,224,17.104761904761904,20,0.5396127282667809,1.159927991573348,1.6995407198401289
Bryce Taylor,10,0.5,239.05,410,23.905,-10,-0.5931231117228104,2.292628811866322,1.6995057001435114
Dwayne Bacon,29,0.5517241379310345,733.6,1307,25.29655172413793,112,1.5740536426855842,0.11430753749249738,1.6883611801780816
Paulius Valinskas,25,0.6,223.25,391,8.93,16,0.5747426782591438,1.1095867481582042,1.684329426417348
Aaron Doornekamp,58,0.41379310344827586,1113.7833333333333,1946,19.20316091954023,93,0.6439551370713517,0.9948766209341441,1.6388317580054959
Stratos Perperoglou,13,0.3076923076923077,211.1,403,16.23846153846154,4,-1.770273667207363,3.3992303915766646,1.6289567243693017
William McDowell-White,2,0,2.316666666666667,5,1.1583333333333334,0,4.021074266269257,-2.3962517853731504,1.6248224808961065
John Brown,25,0.52,769.7666666666667,1354,30.790666666666667,79,0.17091285408567713,1.4405490308785345,1.6114618849642115
Devon Hall,36,0.6111111111111112,974.15,1629,27.05972222222222,120,-0.31414778844212804,1.9123504329574352,1.5982026445153072
Nick Weiler-Babb,62,0.5483870967741935,1539.8666666666666,2640,24.836559139784946,131,-0.043302574817842825,1.6172898541810756,1.5739872793632328
Paul Zipser,70,0.45714285714285713,1485.25,2643,21.21785714285714,29,0.9699475864978461,0.5861511078867205,1.5560986943845667
Zan Sisko,39,0.48717948717948717,653.7166666666667,1156,16.761965811965812,40,0.508475257621376,1.0371728226281918,1.5456480802495678
Jerian Grant,26,0.5769230769230769,322.6,548,12.407692307692308,-5,-2.0304635311761126,3.5650723330444127,1.5346088018683002
Karolis Lukosiunas,42,0.4523809523809524,338.8833333333333,566,8.068650793650793,6,0.5086484166883811,1.0210803724134274,1.5297287891018085
Felipe Reyes,70,0.6571428571428571,824.4166666666666,1498,11.777380952380952,160,2.0724831592780837,-0.5484248841192706,1.5240582751588132
Melwin Pantzar,1,0,8.55,16,8.55,1,2.1155058302654566,-0.6101098501675849,1.5053959800978718
Luigi Datome,160,0.63125,3176.05,5734,19.8503125,451,1.1472116360686755,0.3417340047594672,1.4889456408281427
Sinan Guler,30,0.8,184.51666666666668,313,6.150555555555556,-10,0.19932453606950884,1.2638090684545584,1.4631336045240673
Alec Peters,108,0.6851851851851852,2008.7,3908,18.599074074074075,300,1.3457087024322392,0.0970056386195374,1.4427143410517766
Adam Waczynski,27,0.48148148148148145,511.43333333333334,895,18.941975308641975,19,1.4196274268457607,0.019242106331815296,1.438869533177576
Will Clyburn,126,0.7619047619047619,3350.85,5950,26.59404761904762,479,1.5031643043220646,-0.0997277228322961,1.4034365814897685
Nikolas Stauskas,3,0.3333333333333333,55.68333333333333,100,18.56111111111111,10,0.14046891370293052,1.2578412393178589,1.3983101530207893
Sean Kilpatrick,15,0.5333333333333333,318.3833333333333,589,21.225555555555555,49,-0.9667003376233718,2.364804144902098,1.398103807278726
Dmitrii Uzinskii,25,0.52,270.1666666666667,466,10.806666666666667,28,0.4996090881902011,0.8948079132229244,1.3944170014131254
Nick Calathes,162,0.5987654320987654,4552.5,8487,28.10185185185185,560,0.4609974841777656,0.9294403926878896,1.3904378768656551
Nikita Kurbanov,161,0.7018633540372671,3141.35,5566,19.511490683229813,429,1.1117759809459034,0.277591346943756,1.3893673278896594
Josep Puerto,27,0.5185185185185185,115.61666666666666,205,4.2820987654320986,4,0.24092796246012305,1.123292002558691,1.364219965018814
Nikola Mirotic,99,0.7171717171717171,2548.15,4627,25.73888888888889,523,0.5844647166225615,0.7654848901331835,1.349949606755745
Chasson Randle,23,0.6521739130434783,174.56666666666666,312,7.589855072463768,12,1.8525642257957384,-0.515845863469867,1.3367183623258714
Gustavo Ayon,75,0.5866666666666667,1574.9666666666667,2867,20.999555555555556,135,1.2600076929706066,0.06871443203927434,1.3287221250098809
Vincent Poirier,105,0.5523809523809524,2143.9166666666665,3974,20.418253968253968,213,1.093486568474991,0.22412284391354845,1.3176094123885396
Isaiah Canaan,24,0.5416666666666666,574.3,1008,23.929166666666664,36,-0.5622374931255151,1.868071947057763,1.3058344539322477
Dimitris Agravanis,1,1,5.25,11,5.25,0,-7.767503169059482,9.059240005774166,1.2917368367146844
Nate Wolters,74,0.5,1667.8666666666666,3081,22.538738738738736,159,0.4486514905500922,0.8405834142373438,1.289234904787436
Alpha Diallo,34,0.5588235294117647,833.7666666666667,1463,24.522549019607844,75,1.0264653499958625,0.2615119429676355,1.287977292963498
Jeffery Taylor,147,0.6802721088435374,2533.4666666666667,4484,17.234467120181407,339,0.3043416874588705,0.977920361291161,1.2822620487500316
Austin Hollins,88,0.45454545454545453,1819.2333333333333,3289,20.67310606060606,115,0.3922503569885312,0.889881438780603,1.2821317957691343
Jason George,22,0.36363636363636365,92.08333333333333,150,4.1856060606060606,-10,1.947580045763845,-0.6714498517186075,1.2761301940452374
Nikola Kalinic,146,0.5821917808219178,3682.25,6823,25.220890410958905,298,0.7419158900726144,0.5315483985455899,1.2734642886182042
Latavious Williams,4,0.5,32.766666666666666,56,8.191666666666666,9,7.204713950507531,-5.933150295742785,1.271563654764746
Kyle Hines,171,0.6842105263157895,3847.65,7021,22.500877192982458,495,0.6345901534246545,0.6363140264053375,1.270904179829992
Joel Bolomboy,103,0.6601941747572816,1499.1333333333334,2675,14.554692556634306,170,-0.7058562546251264,1.9743138634886257,1.2684576088634993
Krunoslav Simon,151,0.609271523178808,3748.15,6646,24.822185430463577,528,1.2998352693828492,-0.03708926147214888,1.2627460079107002
Alberto Abalde,117,0.5726495726495726,2296.2166666666667,4186,19.625783475783475,124,0.41770926418166426,0.8284950035439509,1.246204267725615
